

OrderDate	ProductKey	CustomerKey	SalesTerritoryRegionKey	EnglishPromotionNameKey	OrderQuantity	UnitPrice	SalesAmount
"December 29, 2010"	BK-M82S-44	AW00025863	Northwest	No Discount	1	3399.99	3399.99
"December 29, 2010"	BK-R50B-62	AW00014501	Southwest	No Discount	1	699.0982	699.0982
"December 30, 2010"	BK-R93R-44	AW00027645	Southwest	No Discount	1	3578.27	3578.27
"December 31, 2010"	BK-R93R-48	AW00027621	Southwest	No Discount	1	3578.27	3578.27
"December 31, 2010"	BK-R93R-48	AW00027616	Southwest	No Discount	1	3578.27	3578.27
"January 1, 2011"	BK-R93R-56	AW00027606	Northwest	No Discount	1	3578.27	3578.27
"January 2, 2011"	BK-R93R-62	AW00027601	Southwest	No Discount	1	3578.27	3578.27
"January 3, 2011"	BK-R93R-44	AW00027668	Northwest	No Discount	1	3578.27	3578.27
"January 3, 2011"	BK-R93R-48	AW00027612	Southwest	No Discount	1	3578.27	3578.27
"January 4, 2011"	BK-R50B-58	AW00014520	Northwest	No Discount	1	699.0982	699.0982
"January 5, 2011"	BK-R50B-58	AW00014560	Southwest	No Discount	1	699.0982	699.0982
"January 6, 2011"	BK-R93R-52	AW00027666	Southwest	No Discount	1	3578.27	3578.27
"January 6, 2011"	BK-M82S-44	AW00025861	Southwest	No Discount	1	3399.99	3399.99
"January 6, 2011"	BK-R93R-48	AW00027577	Northwest	No Discount	1	3578.27	3578.27
"January 7, 2011"	BK-R93R-48	AW00027604	Northwest	No Discount	1	3578.27	3578.27
"January 9, 2011"	BK-R93R-62	AW00027671	Northwest	No Discount	1	3578.27	3578.27
"January 11, 2011"	BK-R93R-56	AW00027623	Southwest	No Discount	1	3578.27	3578.27
"January 11, 2011"	BK-R93R-52	AW00027625	Northwest	No Discount	1	3578.27	3578.27
"January 11, 2011"	BK-R93R-56	AW00027636	Northwest	No Discount	1	3578.27	3578.27
"January 12, 2011"	BK-R93R-48	AW00027617	Northwest	No Discount	1	3578.27	3578.27
"January 12, 2011"	BK-R93R-44	AW00027670	Southwest	No Discount	1	3578.27	3578.27
"January 13, 2011"	BK-R93R-62	AW00027646	Southwest	No Discount	1	3578.27	3578.27
"January 14, 2011"	BK-R93R-56	AW00027578	Southwest	No Discount	1	3578.27	3578.27
"January 16, 2011"	BK-R93R-48	AW00027649	Northwest	No Discount	1	3578.27	3578.27
"January 16, 2011"	BK-R93R-48	AW00027614	Northwest	No Discount	1	3578.27	3578.27
"January 16, 2011"	BK-R50R-52	AW00014559	Southwest	No Discount	1	699.0982	699.0982
"January 19, 2011"	BK-R93R-62	AW00027667	Southwest	No Discount	1	3578.27	3578.27
"January 19, 2011"	BK-M82B-48	AW00025865	Northwest	No Discount	1	3374.99	3374.99
"January 19, 2011"	BK-M82S-38	AW00025857	Northwest	No Discount	1	3399.99	3399.99
"January 20, 2011"	BK-R93R-48	AW00027615	Southwest	No Discount	1	3578.27	3578.27
"January 22, 2011"	BK-R50R-48	AW00014510	Northwest	No Discount	1	699.0982	699.0982
"January 24, 2011"	BK-R93R-48	AW00027662	Southwest	No Discount	1	3578.27	3578.27
"January 24, 2011"	BK-M82B-44	AW00025866	Northwest	No Discount	1	3374.99	3374.99
"January 25, 2011"	BK-R93R-48	AW00027651	Southwest	No Discount	1	3578.27	3578.27
"January 25, 2011"	BK-R93R-62	AW00027663	Southwest	No Discount	1	3578.27	3578.27
"January 25, 2011"	BK-R93R-52	AW00027669	Southwest	No Discount	1	3578.27	3578.27
"January 25, 2011"	BK-R50B-44	AW00014558	Northwest	No Discount	1	699.0982	699.0982
"January 26, 2011"	BK-R93R-62	AW00027605	Northwest	No Discount	1	3578.27	3578.27
"January 26, 2011"	BK-R93R-62	AW00027611	Southwest	No Discount	1	3578.27	3578.27
"January 28, 2011"	BK-R93R-52	AW00027641	Southwest	No Discount	1	3578.27	3578.27
"January 28, 2011"	BK-R93R-44	AW00027673	Northwest	No Discount	1	3578.27	3578.27
"January 29, 2011"	BK-R93R-52	AW00028066	Southwest	No Discount	1	3578.27	3578.27
"January 30, 2011"	BK-R93R-48	AW00028018	Southwest	No Discount	1	3578.27	3578.27
"February 1, 2011"	BK-R93R-48	AW00028038	Southwest	No Discount	1	3578.27	3578.27
"February 2, 2011"	BK-R93R-44	AW00028065	Southwest	No Discount	1	3578.27	3578.27
"February 3, 2011"	BK-R50B-44	AW00014565	Southwest	No Discount	1	699.0982	699.0982
"February 4, 2011"	BK-R93R-62	AW00027726	Southwest	No Discount	1	3578.27	3578.27
"February 4, 2011"	BK-R93R-44	AW00028014	Southwest	No Discount	1	3578.27	3578.27
"February 6, 2011"	BK-R93R-52	AW00028068	Southwest	No Discount	1	3578.27	3578.27
"February 7, 2011"	BK-R93R-44	AW00028031	Southwest	No Discount	1	3578.27	3578.27
"February 7, 2011"	BK-R93R-48	AW00028076	Southwest	No Discount	1	3578.27	3578.27
"February 8, 2011"	BK-R93R-52	AW00028040	Northwest	No Discount	1	3578.27	3578.27
"February 8, 2011"	BK-R93R-52	AW00028067	Southwest	No Discount	1	3578.27	3578.27
"February 8, 2011"	BK-R93R-62	AW00028071	Southwest	No Discount	1	3578.27	3578.27
"February 9, 2011"	BK-R93R-48	AW00028039	Southwest	No Discount	1	3578.27	3578.27
"February 9, 2011"	BK-R93R-62	AW00028063	Southwest	No Discount	1	3578.27	3578.27
"February 10, 2011"	BK-R93R-62	AW00028030	Northwest	No Discount	1	3578.27	3578.27
"February 10, 2011"	BK-R50R-60	AW00014576	Northwest	No Discount	1	699.0982	699.0982
"February 11, 2011"	BK-R93R-56	AW00028017	Northwest	No Discount	1	3578.27	3578.27
"February 11, 2011"	BK-R93R-62	AW00028070	Southwest	No Discount	1	3578.27	3578.27
"February 12, 2011"	BK-R93R-62	AW00028042	Southwest	No Discount	1	3578.27	3578.27
"February 12, 2011"	BK-R93R-48	AW00028083	Southwest	No Discount	1	3578.27	3578.27
"February 12, 2011"	BK-M82S-38	AW00025872	Northwest	No Discount	1	3399.99	3399.99
"February 15, 2011"	BK-R93R-56	AW00027681	Southwest	No Discount	1	3578.27	3578.27
"February 15, 2011"	BK-R93R-62	AW00027920	Southwest	No Discount	1	3578.27	3578.27
"February 15, 2011"	BK-R93R-62	AW00028022	Southwest	No Discount	1	3578.27	3578.27
"February 15, 2011"	BK-R93R-44	AW00028047	Northwest	No Discount	1	3578.27	3578.27
"February 16, 2011"	BK-R93R-44	AW00027918	Southwest	No Discount	1	3578.27	3578.27
"February 16, 2011"	BK-R93R-52	AW00028044	Southwest	No Discount	1	3578.27	3578.27
"February 16, 2011"	BK-R50B-62	AW00014572	Southwest	No Discount	1	699.0982	699.0982
"February 16, 2011"	BK-R93R-62	AW00028061	Southwest	No Discount	1	3578.27	3578.27
"February 17, 2011"	BK-R93R-48	AW00027678	Northwest	No Discount	1	3578.27	3578.27
"February 17, 2011"	BK-R93R-56	AW00027759	Northwest	No Discount	1	3578.27	3578.27
"February 18, 2011"	BK-R93R-52	AW00027917	Southwest	No Discount	1	3578.27	3578.27
"February 18, 2011"	BK-R93R-62	AW00028078	Northwest	No Discount	1	3578.27	3578.27
"February 18, 2011"	BK-M82B-44	AW00025876	Northwest	No Discount	1	3374.99	3374.99
"February 21, 2011"	BK-M82S-38	AW00025868	Southwest	No Discount	1	3399.99	3399.99
"February 23, 2011"	BK-R93R-52	AW00028064	Northwest	No Discount	1	3578.27	3578.27
"February 23, 2011"	BK-M82S-38	AW00025878	Southwest	No Discount	1	3399.99	3399.99
"February 26, 2011"	BK-R50B-44	AW00014577	Northwest	No Discount	1	699.0982	699.0982
"February 27, 2011"	BK-R93R-62	AW00027919	Northwest	No Discount	1	3578.27	3578.27
"February 27, 2011"	BK-R93R-62	AW00028041	Northwest	No Discount	1	3578.27	3578.27
"February 27, 2011"	BK-R93R-62	AW00028062	Southwest	No Discount	1	3578.27	3578.27
"February 27, 2011"	BK-M82S-38	AW00025867	Southwest	No Discount	1	3399.99	3399.99
"March 1, 2011"	BK-R93R-62	AW00028156	Southwest	No Discount	1	3578.27	3578.27
"March 2, 2011"	BK-R93R-52	AW00028145	Southwest	No Discount	1	3578.27	3578.27
"March 3, 2011"	BK-R93R-62	AW00028172	Southwest	No Discount	1	3578.27	3578.27
"March 4, 2011"	BK-R93R-48	AW00028168	Southwest	No Discount	1	3578.27	3578.27
"March 4, 2011"	BK-R93R-44	AW00028181	Northwest	No Discount	1	3578.27	3578.27
"March 4, 2011"	BK-R93R-52	AW00028131	Southwest	No Discount	1	3578.27	3578.27
"March 4, 2011"	BK-M82S-44	AW00025887	Northwest	No Discount	1	3399.99	3399.99
"March 5, 2011"	BK-R93R-44	AW00028182	Southwest	No Discount	1	3578.27	3578.27
"March 5, 2011"	BK-R93R-48	AW00028186	Northwest	No Discount	1	3578.27	3578.27
"March 6, 2011"	BK-R93R-44	AW00028185	Southwest	No Discount	1	3578.27	3578.27
"March 6, 2011"	BK-R93R-56	AW00028193	Southwest	No Discount	1	3578.27	3578.27
"March 6, 2011"	BK-R93R-62	AW00028088	Southwest	No Discount	1	3578.27	3578.27
